Classe;Slot;Tier;Mapa;Raridade;Cor;Nível;Tipo;Item;Origem 1;Material 1;Origem 2;Material 2;Origem 3;Material 3;Drop de mob;Resíduo de mob
Lutador;Pés;9;Necrópole Industrial;Lendário;Vermelho;81–90;Botas;Botas de Pisada Titânica;Desmanche;Calcanhar Titânico Industrial;Coleta;Fibra de Compressão Pesada;Contenção;Selo de Marcha Carmesim;Garra Rubra Saturada;Resíduo Infecto Saturado
Lutador;Pés;10;Marco Zero;Lendário;Vermelho;91–100;Botas;Botas do Colapso Rubro;Desmanche;Solado Titânico do Marco;Coleta;Fibra Escarlate de Tração;Contenção;Célula Rubra de Impacto;Osso do Colapso;Resíduo Infecto Saturado
Lutador;Elmo;1;Subúrbio Silencioso;Comum;Branco;0–10;Elmo;Elmo de Obra Rachado;Desmanche;Casco de Capacete Quebrado;Coleta;Forro de Touca Rasgada;Contenção;Espuma Filtrante Suja;Osso Oco Infectado;Resíduo Infecto Pálido
Lutador;Elmo;2;Distrito da Ferrugem;Comum;Branco;11–20;Elmo;Elmo de Soldador Enferrujado;Desmanche;Casco de Solda Enferrujado;Coleta;Tira de Avental de Oficina;Contenção;Respirador de Oficina Oxidado;Crânio Ressecado;Resíduo Infecto Pálido
Lutador;Elmo;3;Hospital Santa Ruína;Incomum;Amarelo;21–30;Elmo;Elmo de Visor Clínico;Desmanche;Arco de Protetor Facial;Coleta;Touca Cirúrgica Reforçada;Contenção;Vedação de Máscara Clínica;Osso Retorcido Necrosado;Resíduo Infecto Amarelado
Lutador;Elmo;4;Terminal dos Esquecidos;Incomum;Amarelo;31–40;Elmo;Elmo de Segurança do Terminal;Desmanche;Casco de Segurança Amassado;Coleta;Tira de Bagageiro Acolchoada;Contenção;Filtro de Cabine Queimado;Mandíbula Calcificada;Resíduo Infecto Amarelado
Lutador;Elmo;5;Zona de Quarentena 9;Raro;Verde;41–50;Elmo;Elmo de Câmara Selada;Desmanche;Casco de Contenção Pesada;Coleta;Forro Antimordida;Contenção;Válvula de Quarentena Verde;Crânio Selado Infectado;Resíduo Infecto Tóxico
Lutador;Elmo;6;Refinaria do Pó Cinzento;Raro;Verde;51–60;Elmo;Elmo de Respirador Cinzento;Desmanche;Máscara de Solda Pesada;Coleta;Gola de Borracha Queimada;Contenção;Cartucho de Vapor Cinzento;Mandíbula Carbonizada;Resíduo Infecto Tóxico
Lutador;Elmo;7;Avenida dos Caídos;Épico;Roxo;61–70;Elmo;Elmo de Motim Quebrado;Desmanche;Casco de Capacete de Motim;Coleta;Acolchoado Tático Rasgado;Contenção;Inserto Cerâmico Craniano;Placa Óssea Mutagênica;Resíduo Infecto Mutagênico
Lutador;Elmo;8;Complexo Helix;Épico;Roxo;71–80;Elmo;Elmo de Contenção Helix;Desmanche;Cúpula de Proteção Helix;Coleta;Revestimento de Polímero Craniano;Contenção;Módulo Cerâmico Helix;Glândula Sensorial Mutante;Resíduo Infecto Mutagênico
Lutador;Elmo;9;Necrópole Industrial;Lendário;Vermelho;81–90;Elmo;Elmo Titânico da Necrópole;Desmanche;Casco Titânico Industrial;Coleta;Trama de Fibra Craniana;Contenção;Visor Carmesim Selado;Placa Óssea Saturada;Resíduo Infecto Saturado
Lutador;Elmo;10;Marco Zero;Lendário;Vermelho;91–100;Elmo;Elmo do Marco Zero;Desmanche;Coroa Titânica do Marco;Coleta;Forro de Fibra Rubra;Contenção;Núcleo Rubro de Respiração;Osso do Colapso;Resíduo Infecto Saturado
Lutador;Main Hand;1;Subúrbio Silencioso;Comum;Branco;0–5;Maça;Maça de Ripa Cravada;Desmanche;Cabo de Madeira Cravado;Coleta;Malha Rasgada;Contenção;Filtro Sujo;Osso Frágil Infectado;Resíduo Infecto Pálido
Lutador;Main Hand;1;Subúrbio Silencioso;Comum;Branco;6–10;Machado;Machado de Lâmina Lascada;Desmanche;Lâmina de Ferramenta Velha;Coleta;Pano de Empunhadura;Contenção;Fita de Vedação Suja;Dente Infectado;Resíduo Infecto Pálido
Lutador;Main Hand;2;Distrito da Ferrugem;Comum;Branco;11–15;Maça;Maça de Engrenagem Enferrujada;Desmanche;Engrenagem Enferrujada;Coleta;Retalho de Uniforme;Contenção;Fita Selante Oxidada;Tendão Ressecado;Resíduo Infecto Pálido
Lutador;Main Hand;2;Distrito da Ferrugem;Comum;Branco;16–20;Machado;Machado de Chapa Rasgada;Desmanche;Chapa de Oficina Rasgada;Coleta;Correia Gasta;Contenção;Lacre de Oficina;Osso Lascado;Resíduo Infecto Pálido
Lutador;Main Hand;3;Hospital Santa Ruína;Incomum;Amarelo;21–25;Maça;Maça de Suporte de Soro;Desmanche;Pé de Suporte Clínico;Coleta;Faixa Hospitalar;Contenção;Lacre de Isolamento;Osso Retorcido Necrosado;Resíduo Infecto Amarelado
Lutador;Main Hand;3;Hospital Santa Ruína;Incomum;Amarelo;26–30;Machado;Machado de Bandeja Cirúrgica;Desmanche;Bandeja Cirúrgica Serrilhada;Coleta;Forro de Maca Rasgado;Contenção;Vedação Hospitalar;Cartilagem Necrosada;Resíduo Infecto Amarelado
Lutador;Main Hand;4;Terminal dos Esquecidos;Incomum;Amarelo;31–35;Maça;Maça de Corrimão Rebitado;Desmanche;Corrimão Rebitado;Coleta;Alça de Bagagem;Contenção;Isolante de Painel Elétrico;Nervo Calcificado;Resíduo Infecto Amarelado
Lutador;Main Hand;4;Terminal dos Esquecidos;Incomum;Amarelo;36–40;Machado;Machado de Placa de Embarque;Desmanche;Placa de Embarque Afiada;Coleta;Cinta de Assento;Contenção;Revestimento de Fiação;Nervo Calcificado;Resíduo Infecto Amarelado
Lutador;Main Hand;5;Zona de Quarentena 9;Raro;Verde;41–45;Maça;Maça de Grade de Quarentena;Desmanche;Grade de Quarentena Retorcida;Coleta;Forro de Colete Rasgado;Contenção;Resina Química Verde;Osso Selado Infectado;Resíduo Infecto Tóxico
Lutador;Main Hand;5;Zona de Quarentena 9;Raro;Verde;46–50;Machado;Machado de Porta de Contenção;Desmanche;Borda de Porta de Contenção;Coleta;Presilha de Equipamento;Contenção;Vedação Química Rompida;Glândula Contaminada;Resíduo Infecto Tóxico
Lutador;Main Hand;6;Refinaria do Pó Cinzento;Raro;Verde;51–55;Maça;Maça de Pistão de Refinaria;Desmanche;Pistão Industrial Pesado;Coleta;Cinta de Borracha Grossa;Contenção;Resina de Vedação Cinzenta;Osso Carbonizado;Resíduo Infecto Tóxico
Lutador;Main Hand;6;Refinaria do Pó Cinzento;Raro;Verde;56–60;Machado;Machado de Chapa de Caldeira;Desmanche;Chapa de Caldeira Serrada;Coleta;Manta Industrial Queimada;Contenção;Selo Químico Ressecado;Tendão Enrijecido;Resíduo Infecto Tóxico
Lutador;Main Hand;7;Avenida dos Caídos;Épico;Roxo;61–65;Maça;Maça de Poste Retorcido;Desmanche;Poste de Aço Retorcido;Coleta;Membrana de Polímero Rasgada;Contenção;Cerâmica Isolante Roxa;Placa Óssea Mutagênica;Resíduo Infecto Mutagênico
Lutador;Main Hand;7;Avenida dos Caídos;Épico;Roxo;66–70;Machado;Machado de Porta de Viatura;Desmanche;Porta de Viatura Recortada;Coleta;Cinto Tático Rompido;Contenção;Selo Balístico Instável;Garra Mutagênica;Resíduo Infecto Mutagênico
Lutador;Main Hand;8;Complexo Helix;Épico;Roxo;71–75;Maça;Maça de Coluna Helix;Desmanche;Coluna de Aço Helix;Coleta;Trama de Polímero Helix;Contenção;Cerâmica de Contenção Roxa;Placa Neural Mutante;Resíduo Infecto Mutagênico
Lutador;Main Hand;8;Complexo Helix;Épico;Roxo;76–80;Machado;Machado de Lâmina Experimental;Desmanche;Lâmina Experimental Serrilhada;Coleta;Revestimento Sintético Reforçado;Contenção;Cápsula Cerâmica Helix;Cartilagem Mutante;Resíduo Infecto Mutagênico
Lutador;Main Hand;9;Necrópole Industrial;Lendário;Vermelho;81–85;Maça;Maça de Coluna Titânica;Desmanche;Coluna Titânica de Impacto;Coleta;Trama de Fibra Reforçada;Contenção;Núcleo de Vedação Carmesim;Tendão Saturado;Resíduo Infecto Saturado
Lutador;Main Hand;9;Necrópole Industrial;Lendário;Vermelho;86–90;Machado;Machado de Fragmento Titânico;Desmanche;Fragmento Titânico Cortante;Coleta;Malha de Fibra Tática;Contenção;Selo Necrótico Carmesim;Cartilagem Rubra;Resíduo Infecto Saturado
Lutador;Main Hand;10;Marco Zero;Lendário;Vermelho;91–95;Maça;Maça do Marco Zero;Desmanche;Núcleo de Impacto Titânico;Coleta;Manta de Fibra Saturada;Contenção;Núcleo de Contenção Rubro;Osso do Colapso;Resíduo Infecto Saturado
Lutador;Main Hand;10;Marco Zero;Lendário;Vermelho;96–100;Machado;Machado da Ruína Carmesim;Desmanche;Lâmina Titânica do Colapso;Coleta;Trança de Fibra Escarlate;Contenção;Selo de Ruptura Rubro;Nervo do Colapso;Resíduo Infecto Saturado
Lutador;Off Hand;1;Subúrbio Silencioso;Comum;Branco;0–10;Escudo;Escudo de Tampa Amassada;Desmanche;Tampa Metálica Amassada;Coleta;Alça de Pano Gasto;Contenção;Pano Filtrante Sujo;Ulna Frágil Infectada;Resíduo Infecto Pálido
Lutador;Off Hand;2;Distrito da Ferrugem;Comum;Branco;11–20;Escudo;Escudo de Portão Oxidado;Desmanche;Painel de Portão Oxidado;Coleta;Alça de Uniforme Gasta;Contenção;Rebite Selante Oxidado;Ulna Ressecada;Resíduo Infecto Pálido
Lutador;Off Hand;3;Hospital Santa Ruína;Incomum;Amarelo;21–30;Escudo;Escudo de Maca Dobrada;Desmanche;Estrutura de Maca Dobrável;Coleta;Forro Hospitalar Acolchoado;Contenção;Tela de Isolamento Clínico;Osso Retorcido Necrosado;Resíduo Infecto Amarelado
Lutador;Off Hand;4;Terminal dos Esquecidos;Incomum;Amarelo;31–40;Escudo;Escudo de Painel de Embarque;Desmanche;Painel de Embarque Quebrado;Coleta;Alça de Mala Reforçada;Contenção;Manta Antifiação;Nervo Calcificado;Resíduo Infecto Amarelado
Lutador;Off Hand;5;Zona de Quarentena 9;Raro;Verde;41–50;Escudo;Escudo de Barreira de Quarentena;Desmanche;Painel de Barreira Verde;Coleta;Forro de Colete Selado;Contenção;Placa de Resina Verde;Úmero Selado Infectado;Resíduo Infecto Tóxico
Lutador;Off Hand;6;Refinaria do Pó Cinzento;Raro;Verde;51–60;Escudo;Escudo de Tampa de Caldeira;Desmanche;Tampa de Caldeira Pesada;Coleta;Borracha Industrial Queimada;Contenção;Junta de Vapor Cinzenta;Osso Carbonizado;Resíduo Infecto Tóxico
Lutador;Off Hand;7;Avenida dos Caídos;Épico;Roxo;61–70;Escudo;Escudo de Placa Antimotim;Desmanche;Placa Antimotim Quebrada;Coleta;Alça Tática Rasgada;Contenção;Painel Cerâmico Roxo;Placa Óssea Mutagênica;Resíduo Infecto Mutagênico
Lutador;Off Hand;8;Complexo Helix;Épico;Roxo;71–80;Escudo;Escudo de Painel Helix;Desmanche;Painel Blindado Helix;Coleta;Camada de Polímero Translúcido;Contenção;Cápsula de Contenção Helix;Placa Óssea Mutante;Resíduo Infecto Mutagênico
Lutador;Off Hand;9;Necrópole Industrial;Lendário;Vermelho;81–90;Escudo;Escudo Titânico da Necrópole;Desmanche;Painel Titânico Necroindustrial;Coleta;Rede de Fibra Pesada;Contenção;Núcleo de Bloqueio Carmesim;Placa Óssea Saturada;Resíduo Infecto Saturado
Lutador;Off Hand;10;Marco Zero;Lendário;Vermelho;91–100;Escudo;Escudo do Marco Zero;Desmanche;Placa Titânica do Marco Zero;Coleta;Trama de Fibra Rubra;Contenção;Núcleo Rubro de Bloqueio;Osso do Colapso;Resíduo Infecto Saturado
Assassino;Main Hand;1;Subúrbio Silencioso;Comum;Branco;0–5;Espada;Espada de Faca Alongada;Arsenal;Faca Serrada de Cozinha;Patrulha;Fita de Mochila Rasgada;Tecnovarredura;Mola de Lanterna Quebrada;Garra Frágil Infectada;Resíduo Infecto Pálido
Assassino;Main Hand;1;Subúrbio Silencioso;Comum;Branco;6–10;Adagas;Adagas de Facas Trincadas;Arsenal;Par de Facas Trincadas;Patrulha;Cordão de Tênis Gasto;Tecnovarredura;Pilha Vazando;Tendão Frágil Infectado;Resíduo Infecto Pálido
Assassino;Main Hand;2;Distrito da Ferrugem;Comum;Branco;11–15;Espada;Espada de Serra Oxidada;Arsenal;Lâmina de Serra Enferrujada;Patrulha;Luva de Oficina Gasta;Tecnovarredura;Interruptor Oxidado;Tendão Ressecado;Resíduo Infecto Pálido
Assassino;Main Hand;2;Distrito da Ferrugem;Comum;Branco;16–20;Adagas;Adagas de Estilete Enferrujado;Arsenal;Lâminas de Estilete Oxidadas;Patrulha;Gancho de Cinto Gasto;Tecnovarredura;Motor de Relógio Quebrado;Tendão Ressecado;Resíduo Infecto Pálido
Assassino;Main Hand;3;Hospital Santa Ruína;Incomum;Amarelo;21–25;Espada;Espada de Bisturi Alongado;Arsenal;Bisturi Cirúrgico Alongado;Patrulha;Faixa de Torniquete;Tecnovarredura;Sensor de Pulso Quebrado;Glândula Necrosada;Resíduo Infecto Amarelado
Assassino;Main Hand;3;Hospital Santa Ruína;Incomum;Amarelo;26–30;Adagas;Adagas de Tesoura Cirúrgica;Arsenal;Pontas de Tesoura Cirúrgica;Patrulha;Tira de Pulseira Hospitalar;Tecnovarredura;Circuito de Monitor Clínico;Falange Necrosada;Resíduo Infecto Amarelado
Assassino;Main Hand;4;Terminal dos Esquecidos;Incomum;Amarelo;31–35;Espada;Espada de Sinalização Afiada;Arsenal;Placa de Sinalização Cortante;Patrulha;Correia de Mochila de Viagem;Tecnovarredura;Leitor de Bilhete Quebrado;Garra Calcificada;Resíduo Infecto Amarelado
Assassino;Main Hand;4;Terminal dos Esquecidos;Incomum;Amarelo;36–40;Adagas;Adagas de Canivete de Embarque;Arsenal;Canivetes de Bagagem;Patrulha;Passador de Cinto de Assento;Tecnovarredura;Sensor de Porta Automática;Nervo Calcificado;Resíduo Infecto Amarelado
Assassino;Main Hand;5;Zona de Quarentena 9;Raro;Verde;41–45;Espada;Espada de Lâmina Selada;Arsenal;Lâmina de Quarentena Selada;Patrulha;Cinta de Colete Antimordida;Tecnovarredura;Inibidor de Alarme Verde;Vesícula Tóxica;Resíduo Infecto Tóxico
Assassino;Main Hand;5;Zona de Quarentena 9;Raro;Verde;46–50;Adagas;Adagas de Contenção Verde;Arsenal;Estiletes de Contenção Verde;Patrulha;Presilha de Equipamento Selado;Tecnovarredura;Chip de Bloqueio Sanitário;Nervo Infectado;Resíduo Infecto Tóxico
Assassino;Main Hand;6;Refinaria do Pó Cinzento;Raro;Verde;51–55;Espada;Espada de Corte Cinzento;Arsenal;Lâmina de Corte Industrial;Patrulha;Luva de Borracha Queimada;Tecnovarredura;Válvula Eletrônica Cinzenta;Tendão Enrijecido;Resíduo Infecto Tóxico
Assassino;Main Hand;6;Refinaria do Pó Cinzento;Raro;Verde;56–60;Adagas;Adagas de Caldeira Fumegante;Arsenal;Lascas de Caldeira Afiadas;Patrulha;Correia Antióleo;Tecnovarredura;Relé de Pressão Queimado;Glândula Carbonizada;Resíduo Infecto Tóxico
Assassino;Main Hand;7;Avenida dos Caídos;Épico;Roxo;61–65;Espada;Espada de Viatura Partida;Arsenal;Lâmina de Porta de Viatura;Patrulha;Coldre Tático Rasgado;Tecnovarredura;Mira Laser Quebrada;Olho Mutagênico;Resíduo Infecto Mutagênico
Assassino;Main Hand;7;Avenida dos Caídos;Épico;Roxo;66–70;Adagas;Adagas Antimotim Roxas;Arsenal;Cacos de Escudo Antimotim;Patrulha;Braçadeira Tática Rompida;Tecnovarredura;Sensor Balístico Instável;Garra Mutagênica;Resíduo Infecto Mutagênico
Assassino;Main Hand;8;Complexo Helix;Épico;Roxo;71–75;Espada;Espada Helix Serrilhada;Arsenal;Lâmina Helix Serrilhada;Patrulha;Trama de Polímero Helix;Tecnovarredura;Atuador Neural Helix;Cartilagem Mutante;Resíduo Infecto Mutagênico
Assassino;Main Hand;8;Complexo Helix;Épico;Roxo;76–80;Adagas;Adagas de Monofio Experimental;Arsenal;Filamentos Cortantes Helix;Patrulha;Pulseira de Infiltração Helix;Tecnovarredura;Núcleo de Camuflagem Falho;Glândula Sensorial Mutante;Resíduo Infecto Mutagênico
Assassino;Main Hand;9;Necrópole Industrial;Lendário;Vermelho;81–85;Espada;Espada de Fragmento Carmesim;Arsenal;Fragmento Carmesim Cortante;Patrulha;Malha de Fibra Sombria;Tecnovarredura;Interface Necrótica Carmesim;Nervo Saturado;Resíduo Infecto Saturado
Assassino;Main Hand;9;Necrópole Industrial;Lendário;Vermelho;86–90;Adagas;Adagas Titânicas Necróticas;Arsenal;Pontas Titânicas Necróticas;Patrulha;Correia de Fibra Tática;Tecnovarredura;Módulo de Sombra Carmesim;Cartilagem Rubra;Resíduo Infecto Saturado
Assassino;Main Hand;10;Marco Zero;Lendário;Vermelho;91–95;Espada;Espada do Marco Zero;Arsenal;Lâmina Rubra do Marco;Patrulha;Trança de Fibra Escarlate;Tecnovarredura;Núcleo de Ocultação Rubro;Nervo do Colapso;Resíduo Infecto Saturado
Assassino;Main Hand;10;Marco Zero;Lendário;Vermelho;96–100;Adagas;Adagas da Ruína Silenciosa;Arsenal;Par de Lâminas do Colapso;Patrulha;Manta de Fibra Saturada;Tecnovarredura;Atuador de Execução Rubro;Glândula Radioinfecta Saturada;Resíduo Infecto Saturado
Assassino;Off Hand;1;Subúrbio Silencioso;Comum;Branco;0–10;Bombas;Bombas de Lata Fumacenta;Arsenal;Cápsula de Lata Amassada;Patrulha;Pavio de Mochila Rasgado;Tecnovarredura;Circuito de Lanterna Quebrado;Membrana Pálida Infectada;Resíduo Infecto Pálido
Assassino;Off Hand;2;Distrito da Ferrugem;Comum;Branco;11–20;Bombas;Bombas de Ferrugem Seca;Arsenal;Cápsula de Oficina Oxidada;Patrulha;Cordão de Uniforme Oleoso;Tecnovarredura;Gatilho de Alarme Oxidado;Carapaça Oleosa Ressecada;Resíduo Infecto Pálido
Assassino;Off Hand;3;Hospital Santa Ruína;Incomum;Amarelo;21–30;Bombas;Bombas de Névoa Clínica;Arsenal;Frasco de Anestésico Vazio;Patrulha;Elástico de Máscara Hospitalar;Tecnovarredura;Nebulizador Quebrado;Bile Necrosada;Resíduo Infecto Amarelado
Assassino;Off Hand;4;Terminal dos Esquecidos;Incomum;Amarelo;31–40;Bombas;Bombas de Sinalização Queimada;Arsenal;Cartucho de Sinalização;Patrulha;Alça de Mochila de Embarque;Tecnovarredura;Temporizador de Painel;Muco Amarelado;Resíduo Infecto Amarelado
Assassino;Off Hand;5;Zona de Quarentena 9;Raro;Verde;41–50;Bombas;Bombas de Quarentena Verde;Arsenal;Cápsula de Contenção;Patrulha;Presilha de Cinto Sanitário;Tecnovarredura;Sensor de Gás Verde;Secreção Tóxica;Resíduo Infecto Tóxico
Assassino;Off Hand;6;Refinaria do Pó Cinzento;Raro;Verde;51–60;Bombas;Bombas de Fuligem Química;Arsenal;Cartucho de Refinaria;Patrulha;Pano Antióleo;Tecnovarredura;Válvula Temporizadora;Glândula Carbonizada;Resíduo Infecto Tóxico
Assassino;Off Hand;7;Avenida dos Caídos;Épico;Roxo;61–70;Bombas;Bombas de Sombra Mutagênica;Arsenal;Granadas de Fumaça Roxa;Patrulha;Bolsa Tática Rasgada;Tecnovarredura;Emissor de Ruído Instável;Pulmão Mutagênico;Resíduo Infecto Mutagênico
Assassino;Off Hand;8;Complexo Helix;Épico;Roxo;71–80;Bombas;Bombas Helix de Dispersão;Arsenal;Cápsula Helix Pressurizada;Patrulha;Suporte de Pulso Helix;Tecnovarredura;Difusor Molecular Helix;Secreção Mutante;Resíduo Infecto Mutagênico
