tier;mapa;submapa;mobName;itemName;tipoDrop;familia;raridade;dropChance;minQuantity;maxQuantity;uso
1;Subúrbio Silencioso;Quintais Abandonados;Morcego de Caixa d’Água;Biomaterial Craniano Comum;BIOMATERIAL;Biomaterial Craniano;Comum;35;1;1;Crafting por família de slot
1;Subúrbio Silencioso;Bloco do Síndico;Porteiro Infectado;Resíduo Infecto Pálido;RESIDUO;Resíduo Infecto;Comum;45;1;2;Crafting por faixa de tier
1;Subúrbio Silencioso;Bloco do Síndico;Porteiro Infectado;Biomaterial Reativo Comum;BIOMATERIAL;Biomaterial Reativo;Comum;35;1;1;Crafting por família de slot
1;Subúrbio Silencioso;Bloco do Síndico;Inquilino Esticado do Bloco;Resíduo Infecto Pálido;RESIDUO;Resíduo Infecto;Comum;45;1;2;Crafting por faixa de tier
1;Subúrbio Silencioso;Bloco do Síndico;Inquilino Esticado do Bloco;Biomaterial Articular Comum;BIOMATERIAL;Biomaterial Articular;Comum;35;1;1;Crafting por família de slot
1;Subúrbio Silencioso;Bloco do Síndico;Urubu Carniceiro Contaminado;Resíduo Infecto Pálido;RESIDUO;Resíduo Infecto;Comum;45;1;2;Crafting por faixa de tier
1;Subúrbio Silencioso;Bloco do Síndico;Urubu Carniceiro Contaminado;Biomaterial Torácico Comum;BIOMATERIAL;Biomaterial Torácico;Comum;35;1;1;Crafting por família de slot
1;Subúrbio Silencioso;Bloco do Síndico;Síndico Devorado;Resíduo Infecto Pálido;RESIDUO;Resíduo Infecto;Comum;45;1;2;Crafting por faixa de tier
1;Subúrbio Silencioso;Bloco do Síndico;Síndico Devorado;Núcleo Infectado de Elite Comum;NUCLEO_ELITE;Núcleo Infectado de Elite;Comum;25;1;1;Crafting raro / upgrades de elite
2;Distrito da Ferrugem;Pátio de Carga;Carregador de Paletes Infectado;Resíduo Infecto Pálido;RESIDUO;Resíduo Infecto;Comum;45;1;2;Crafting por faixa de tier
2;Distrito da Ferrugem;Pátio de Carga;Carregador de Paletes Infectado;Biomaterial Torácico Comum;BIOMATERIAL;Biomaterial Torácico;Comum;35;1;1;Crafting por família de slot
2;Distrito da Ferrugem;Pátio de Carga;Barata de Depósito Oleosa;Resíduo Infecto Pálido;RESIDUO;Resíduo Infecto;Comum;45;1;2;Crafting por faixa de tier
2;Distrito da Ferrugem;Pátio de Carga;Barata de Depósito Oleosa;Biomaterial Torácico Comum;BIOMATERIAL;Biomaterial Torácico;Comum;35;1;1;Crafting por família de slot
2;Distrito da Ferrugem;Pátio de Carga;Operador de Empilhadeira Infectado;Resíduo Infecto Pálido;RESIDUO;Resíduo Infecto;Comum;45;1;2;Crafting por faixa de tier
2;Distrito da Ferrugem;Pátio de Carga;Operador de Empilhadeira Infectado;Biomaterial Reativo Comum;BIOMATERIAL;Biomaterial Reativo;Comum;35;1;1;Crafting por família de slot
2;Distrito da Ferrugem;Pátio de Carga;Arrastador de Correntes;Resíduo Infecto Pálido;RESIDUO;Resíduo Infecto;Comum;45;1;2;Crafting por faixa de tier
2;Distrito da Ferrugem;Pátio de Carga;Arrastador de Correntes;Biomaterial Articular Comum;BIOMATERIAL;Biomaterial Articular;Comum;35;1;1;Crafting por família de slot
2;Distrito da Ferrugem;Linha de Prensas;Operário Prensado;Resíduo Infecto Pálido;RESIDUO;Resíduo Infecto;Comum;45;1;2;Crafting por faixa de tier
2;Distrito da Ferrugem;Linha de Prensas;Operário Prensado;Biomaterial Articular Comum;BIOMATERIAL;Biomaterial Articular;Comum;35;1;1;Crafting por família de slot
2;Distrito da Ferrugem;Linha de Prensas;Pistoneiro Hidráulico;Resíduo Infecto Pálido;RESIDUO;Resíduo Infecto;Comum;45;1;2;Crafting por faixa de tier
2;Distrito da Ferrugem;Linha de Prensas;Pistoneiro Hidráulico;Biomaterial Reativo Comum;BIOMATERIAL;Biomaterial Reativo;Comum;35;1;1;Crafting por família de slot
2;Distrito da Ferrugem;Linha de Prensas;Lacraia de Esteira Ferruginosa;Resíduo Infecto Pálido;RESIDUO;Resíduo Infecto;Comum;45;1;2;Crafting por faixa de tier
2;Distrito da Ferrugem;Linha de Prensas;Lacraia de Esteira Ferruginosa;Biomaterial Cortante Comum;BIOMATERIAL;Biomaterial Cortante;Comum;35;1;1;Crafting por família de slot
2;Distrito da Ferrugem;Linha de Prensas;Esmagado da Prensa;Resíduo Infecto Pálido;RESIDUO;Resíduo Infecto;Comum;45;1;2;Crafting por faixa de tier
2;Distrito da Ferrugem;Linha de Prensas;Esmagado da Prensa;Biomaterial Craniano Comum;BIOMATERIAL;Biomaterial Craniano;Comum;35;1;1;Crafting por família de slot
2;Distrito da Ferrugem;Galpão do Capataz;Vigia do Galpão Infectado;Resíduo Infecto Pálido;RESIDUO;Resíduo Infecto;Comum;45;1;2;Crafting por faixa de tier
2;Distrito da Ferrugem;Galpão do Capataz;Vigia do Galpão Infectado;Biomaterial Craniano Comum;BIOMATERIAL;Biomaterial Craniano;Comum;35;1;1;Crafting por família de slot
2;Distrito da Ferrugem;Galpão do Capataz;Soldador Mascarado Infectado;Resíduo Infecto Pálido;RESIDUO;Resíduo Infecto;Comum;45;1;2;Crafting por faixa de tier
2;Distrito da Ferrugem;Galpão do Capataz;Soldador Mascarado Infectado;Biomaterial Cortante Comum;BIOMATERIAL;Biomaterial Cortante;Comum;35;1;1;Crafting por família de slot
2;Distrito da Ferrugem;Galpão do Capataz;Aranha de Viga Contaminada;Resíduo Infecto Pálido;RESIDUO;Resíduo Infecto;Comum;45;1;2;Crafting por faixa de tier
2;Distrito da Ferrugem;Galpão do Capataz;Aranha de Viga Contaminada;Biomaterial de Mobilidade Comum;BIOMATERIAL;Biomaterial de Mobilidade;Comum;35;1;1;Crafting por família de slot
2;Distrito da Ferrugem;Galpão do Capataz;Capataz Ferrugento;Resíduo Infecto Pálido;RESIDUO;Resíduo Infecto;Comum;45;1;2;Crafting por faixa de tier
2;Distrito da Ferrugem;Galpão do Capataz;Capataz Ferrugento;Núcleo Infectado de Elite Comum;NUCLEO_ELITE;Núcleo Infectado de Elite;Comum;25;1;1;Crafting raro / upgrades de elite
3;Hospital Santa Ruína;Triagem Vazia;Paciente Febril Errante;Resíduo Infecto Amarelado;RESIDUO;Resíduo Infecto;Incomum;45;1;2;Crafting por faixa de tier
3;Hospital Santa Ruína;Triagem Vazia;Paciente Febril Errante;Biomaterial Torácico Incomum;BIOMATERIAL;Biomaterial Torácico;Incomum;35;1;1;Crafting por família de slot
3;Hospital Santa Ruína;Triagem Vazia;Maqueiro Infectado;Resíduo Infecto Amarelado;RESIDUO;Resíduo Infecto;Incomum;45;1;2;Crafting por faixa de tier
3;Hospital Santa Ruína;Triagem Vazia;Maqueiro Infectado;Biomaterial Articular Incomum;BIOMATERIAL;Biomaterial Articular;Incomum;35;1;1;Crafting por família de slot
3;Hospital Santa Ruína;Triagem Vazia;Entubado da Triagem;Resíduo Infecto Amarelado;RESIDUO;Resíduo Infecto;Incomum;45;1;2;Crafting por faixa de tier
3;Hospital Santa Ruína;Triagem Vazia;Entubado da Triagem;Biomaterial Craniano Incomum;BIOMATERIAL;Biomaterial Craniano;Incomum;35;1;1;Crafting por família de slot
3;Hospital Santa Ruína;Triagem Vazia;Mosca de Ferida Contaminada;Resíduo Infecto Amarelado;RESIDUO;Resíduo Infecto;Incomum;45;1;2;Crafting por faixa de tier
3;Hospital Santa Ruína;Triagem Vazia;Mosca de Ferida Contaminada;Biomaterial de Mobilidade Incomum;BIOMATERIAL;Biomaterial de Mobilidade;Incomum;35;1;1;Crafting por família de slot
3;Hospital Santa Ruína;Ala de Isolamento;Enfermeira de Isolamento Infectada;Resíduo Infecto Amarelado;RESIDUO;Resíduo Infecto;Incomum;45;1;2;Crafting por faixa de tier
3;Hospital Santa Ruína;Ala de Isolamento;Enfermeira de Isolamento Infectada;Biomaterial Craniano Incomum;BIOMATERIAL;Biomaterial Craniano;Incomum;35;1;1;Crafting por família de slot
3;Hospital Santa Ruína;Ala de Isolamento;Técnico Selado de Descontaminação;Resíduo Infecto Amarelado;RESIDUO;Resíduo Infecto;Incomum;45;1;2;Crafting por faixa de tier
3;Hospital Santa Ruína;Ala de Isolamento;Técnico Selado de Descontaminação;Biomaterial Reativo Incomum;BIOMATERIAL;Biomaterial Reativo;Incomum;35;1;1;Crafting por família de slot
3;Hospital Santa Ruína;Ala de Isolamento;Interno Retorcido do Isolamento;Resíduo Infecto Amarelado;RESIDUO;Resíduo Infecto;Incomum;45;1;2;Crafting por faixa de tier
3;Hospital Santa Ruína;Ala de Isolamento;Interno Retorcido do Isolamento;Biomaterial Articular Incomum;BIOMATERIAL;Biomaterial Articular;Incomum;35;1;1;Crafting por família de slot
3;Hospital Santa Ruína;Ala de Isolamento;Centopeia de Tubulação Contaminada;Resíduo Infecto Amarelado;RESIDUO;Resíduo Infecto;Incomum;45;1;2;Crafting por faixa de tier
3;Hospital Santa Ruína;Ala de Isolamento;Centopeia de Tubulação Contaminada;Biomaterial Torácico Incomum;BIOMATERIAL;Biomaterial Torácico;Incomum;35;1;1;Crafting por família de slot
3;Hospital Santa Ruína;Centro Cirúrgico;Instrumentador Cirúrgico Infectado;Resíduo Infecto Amarelado;RESIDUO;Resíduo Infecto;Incomum;45;1;2;Crafting por faixa de tier
3;Hospital Santa Ruína;Centro Cirúrgico;Instrumentador Cirúrgico Infectado;Biomaterial Cortante Incomum;BIOMATERIAL;Biomaterial Cortante;Incomum;35;1;1;Crafting por família de slot
3;Hospital Santa Ruína;Centro Cirúrgico;Anestesista Colapsado;Resíduo Infecto Amarelado;RESIDUO;Resíduo Infecto;Incomum;45;1;2;Crafting por faixa de tier
3;Hospital Santa Ruína;Centro Cirúrgico;Anestesista Colapsado;Biomaterial Reativo Incomum;BIOMATERIAL;Biomaterial Reativo;Incomum;35;1;1;Crafting por família de slot
3;Hospital Santa Ruína;Centro Cirúrgico;Sanguessuga de Bolsa Hemática;Resíduo Infecto Amarelado;RESIDUO;Resíduo Infecto;Incomum;45;1;2;Crafting por faixa de tier
3;Hospital Santa Ruína;Centro Cirúrgico;Sanguessuga de Bolsa Hemática;Biomaterial Reativo Incomum;BIOMATERIAL;Biomaterial Reativo;Incomum;35;1;1;Crafting por família de slot
3;Hospital Santa Ruína;Centro Cirúrgico;Cirurgião-Chefe Necrosado;Resíduo Infecto Amarelado;RESIDUO;Resíduo Infecto;Incomum;45;1;2;Crafting por faixa de tier
3;Hospital Santa Ruína;Centro Cirúrgico;Cirurgião-Chefe Necrosado;Núcleo Infectado de Elite Incomum;NUCLEO_ELITE;Núcleo Infectado de Elite;Incomum;25;1;1;Crafting raro / upgrades de elite
4;Terminal dos Esquecidos;Saguão de Embarque;Amontoado de Bagagens Vivas;Resíduo Infecto Amarelado;RESIDUO;Resíduo Infecto;Incomum;45;1;2;Crafting por faixa de tier
4;Terminal dos Esquecidos;Saguão de Embarque;Amontoado de Bagagens Vivas;Biomaterial Torácico Incomum;BIOMATERIAL;Biomaterial Torácico;Incomum;35;1;1;Crafting por família de slot
4;Terminal dos Esquecidos;Saguão de Embarque;Mandibulado do Embarque;Resíduo Infecto Amarelado;RESIDUO;Resíduo Infecto;Incomum;45;1;2;Crafting por faixa de tier
4;Terminal dos Esquecidos;Saguão de Embarque;Mandibulado do Embarque;Biomaterial Craniano Incomum;BIOMATERIAL;Biomaterial Craniano;Incomum;35;1;1;Crafting por família de slot
4;Terminal dos Esquecidos;Saguão de Embarque;Farejador Mutado da Segurança;Resíduo Infecto Amarelado;RESIDUO;Resíduo Infecto;Incomum;45;1;2;Crafting por faixa de tier
4;Terminal dos Esquecidos;Saguão de Embarque;Farejador Mutado da Segurança;Biomaterial Cortante Incomum;BIOMATERIAL;Biomaterial Cortante;Incomum;35;1;1;Crafting por família de slot
4;Terminal dos Esquecidos;Saguão de Embarque;Enxame de Carrapatos Hemáticos;Resíduo Infecto Amarelado;RESIDUO;Resíduo Infecto;Incomum;45;1;2;Crafting por faixa de tier
4;Terminal dos Esquecidos;Saguão de Embarque;Enxame de Carrapatos Hemáticos;Biomaterial Reativo Incomum;BIOMATERIAL;Biomaterial Reativo;Incomum;35;1;1;Crafting por família de slot
4;Terminal dos Esquecidos;Plataformas Mortas;Sinaleiro Sem Rosto;Resíduo Infecto Amarelado;RESIDUO;Resíduo Infecto;Incomum;45;1;2;Crafting por faixa de tier
4;Terminal dos Esquecidos;Plataformas Mortas;Sinaleiro Sem Rosto;Biomaterial Craniano Incomum;BIOMATERIAL;Biomaterial Craniano;Incomum;35;1;1;Crafting por família de slot
4;Terminal dos Esquecidos;Plataformas Mortas;Corcunda do Bagageiro;Resíduo Infecto Amarelado;RESIDUO;Resíduo Infecto;Incomum;45;1;2;Crafting por faixa de tier
4;Terminal dos Esquecidos;Plataformas Mortas;Corcunda do Bagageiro;Biomaterial Torácico Incomum;BIOMATERIAL;Biomaterial Torácico;Incomum;35;1;1;Crafting por família de slot
4;Terminal dos Esquecidos;Plataformas Mortas;Verme de Escapamento Tóxico;Resíduo Infecto Amarelado;RESIDUO;Resíduo Infecto;Incomum;45;1;2;Crafting por faixa de tier
4;Terminal dos Esquecidos;Plataformas Mortas;Verme de Escapamento Tóxico;Biomaterial Reativo Incomum;BIOMATERIAL;Biomaterial Reativo;Incomum;35;1;1;Crafting por família de slot
4;Terminal dos Esquecidos;Plataformas Mortas;Casulo de Traças de Plataforma;Resíduo Infecto Amarelado;RESIDUO;Resíduo Infecto;Incomum;45;1;2;Crafting por faixa de tier
4;Terminal dos Esquecidos;Plataformas Mortas;Casulo de Traças de Plataforma;Biomaterial de Mobilidade Incomum;BIOMATERIAL;Biomaterial de Mobilidade;Incomum;35;1;1;Crafting por família de slot
4;Terminal dos Esquecidos;Cabine Final;Cobrador Fundido;Resíduo Infecto Amarelado;RESIDUO;Resíduo Infecto;Incomum;45;1;2;Crafting por faixa de tier
4;Terminal dos Esquecidos;Cabine Final;Cobrador Fundido;Biomaterial Reativo Incomum;BIOMATERIAL;Biomaterial Reativo;Incomum;35;1;1;Crafting por família de slot
4;Terminal dos Esquecidos;Cabine Final;Condutor Sem Mandíbula;Resíduo Infecto Amarelado;RESIDUO;Resíduo Infecto;Incomum;45;1;2;Crafting por faixa de tier
4;Terminal dos Esquecidos;Cabine Final;Condutor Sem Mandíbula;Biomaterial Craniano Incomum;BIOMATERIAL;Biomaterial Craniano;Incomum;35;1;1;Crafting por família de slot
4;Terminal dos Esquecidos;Cabine Final;Escorpião de Painel Elétrico;Resíduo Infecto Amarelado;RESIDUO;Resíduo Infecto;Incomum;45;1;2;Crafting por faixa de tier
4;Terminal dos Esquecidos;Cabine Final;Escorpião de Painel Elétrico;Biomaterial Cortante Incomum;BIOMATERIAL;Biomaterial Cortante;Incomum;35;1;1;Crafting por família de slot
4;Terminal dos Esquecidos;Cabine Final;Regente da Cabine Lacrada;Resíduo Infecto Amarelado;RESIDUO;Resíduo Infecto;Incomum;45;1;2;Crafting por faixa de tier
4;Terminal dos Esquecidos;Cabine Final;Regente da Cabine Lacrada;Núcleo Infectado de Elite Incomum;NUCLEO_ELITE;Núcleo Infectado de Elite;Incomum;25;1;1;Crafting raro / upgrades de elite
5;Zona de Quarentena 9;Triagem Externa;Isolado da Tenda Rasgada;Resíduo Infecto Tóxico;RESIDUO;Resíduo Infecto;Raro;45;1;2;Crafting por faixa de tier
5;Zona de Quarentena 9;Triagem Externa;Isolado da Tenda Rasgada;Biomaterial Torácico Raro;BIOMATERIAL;Biomaterial Torácico;Raro;35;1;1;Crafting por família de slot
5;Zona de Quarentena 9;Triagem Externa;Cadáver de Maca Quarentenado;Resíduo Infecto Tóxico;RESIDUO;Resíduo Infecto;Raro;45;1;2;Crafting por faixa de tier
5;Zona de Quarentena 9;Triagem Externa;Cadáver de Maca Quarentenado;Biomaterial Articular Raro;BIOMATERIAL;Biomaterial Articular;Raro;35;1;1;Crafting por família de slot
5;Zona de Quarentena 9;Triagem Externa;Portador de Máscara Fundida;Resíduo Infecto Tóxico;RESIDUO;Resíduo Infecto;Raro;45;1;2;Crafting por faixa de tier
5;Zona de Quarentena 9;Triagem Externa;Portador de Máscara Fundida;Biomaterial Craniano Raro;BIOMATERIAL;Biomaterial Craniano;Raro;35;1;1;Crafting por família de slot
5;Zona de Quarentena 9;Triagem Externa;Larva de Descarte Biológico;Resíduo Infecto Tóxico;RESIDUO;Resíduo Infecto;Raro;45;1;2;Crafting por faixa de tier
5;Zona de Quarentena 9;Triagem Externa;Larva de Descarte Biológico;Biomaterial Reativo Raro;BIOMATERIAL;Biomaterial Reativo;Raro;35;1;1;Crafting por família de slot
5;Zona de Quarentena 9;Cercas Internas;Arameiro de Contenção;Resíduo Infecto Tóxico;RESIDUO;Resíduo Infecto;Raro;45;1;2;Crafting por faixa de tier
5;Zona de Quarentena 9;Cercas Internas;Arameiro de Contenção;Biomaterial Torácico Raro;BIOMATERIAL;Biomaterial Torácico;Raro;35;1;1;Crafting por família de slot
5;Zona de Quarentena 9;Cercas Internas;Sentinela Eletrocutado;Resíduo Infecto Tóxico;RESIDUO;Resíduo Infecto;Raro;45;1;2;Crafting por faixa de tier
5;Zona de Quarentena 9;Cercas Internas;Sentinela Eletrocutado;Biomaterial Craniano Raro;BIOMATERIAL;Biomaterial Craniano;Raro;35;1;1;Crafting por família de slot
5;Zona de Quarentena 9;Cercas Internas;Vazador Tóxico de Grade;Resíduo Infecto Tóxico;RESIDUO;Resíduo Infecto;Raro;45;1;2;Crafting por faixa de tier
5;Zona de Quarentena 9;Cercas Internas;Vazador Tóxico de Grade;Biomaterial Reativo Raro;BIOMATERIAL;Biomaterial Reativo;Raro;35;1;1;Crafting por família de slot
5;Zona de Quarentena 9;Cercas Internas;Lesma de Canaleta Química;Resíduo Infecto Tóxico;RESIDUO;Resíduo Infecto;Raro;45;1;2;Crafting por faixa de tier
5;Zona de Quarentena 9;Cercas Internas;Lesma de Canaleta Química;Biomaterial Reativo Raro;BIOMATERIAL;Biomaterial Reativo;Raro;35;1;1;Crafting por família de slot
5;Zona de Quarentena 9;Posto de Comando;Operador de Rádio Infectado;Resíduo Infecto Tóxico;RESIDUO;Resíduo Infecto;Raro;45;1;2;Crafting por faixa de tier
5;Zona de Quarentena 9;Posto de Comando;Operador de Rádio Infectado;Biomaterial Cortante Raro;BIOMATERIAL;Biomaterial Cortante;Raro;35;1;1;Crafting por família de slot
5;Zona de Quarentena 9;Posto de Comando;Oficial de Contenção Necrosado;Resíduo Infecto Tóxico;RESIDUO;Resíduo Infecto;Raro;45;1;2;Crafting por faixa de tier
5;Zona de Quarentena 9;Posto de Comando;Oficial de Contenção Necrosado;Biomaterial Articular Raro;BIOMATERIAL;Biomaterial Articular;Raro;35;1;1;Crafting por família de slot
5;Zona de Quarentena 9;Posto de Comando;Parasita de Mesa Tática;Resíduo Infecto Tóxico;RESIDUO;Resíduo Infecto;Raro;45;1;2;Crafting por faixa de tier
5;Zona de Quarentena 9;Posto de Comando;Parasita de Mesa Tática;Biomaterial Reativo Raro;BIOMATERIAL;Biomaterial Reativo;Raro;35;1;1;Crafting por família de slot
5;Zona de Quarentena 9;Posto de Comando;Coronel Lacrado da Zona 9;Resíduo Infecto Tóxico;RESIDUO;Resíduo Infecto;Raro;45;1;2;Crafting por faixa de tier
5;Zona de Quarentena 9;Posto de Comando;Coronel Lacrado da Zona 9;Núcleo Infectado de Elite Raro;NUCLEO_ELITE;Núcleo Infectado de Elite;Raro;25;1;1;Crafting raro / upgrades de elite
6;Refinaria do Pó Cinzento;Tanques Vazios;Homem-Tanque Rachado;Resíduo Infecto Tóxico;RESIDUO;Resíduo Infecto;Raro;45;1;2;Crafting por faixa de tier
6;Refinaria do Pó Cinzento;Tanques Vazios;Homem-Tanque Rachado;Biomaterial Torácico Raro;BIOMATERIAL;Biomaterial Torácico;Raro;35;1;1;Crafting por família de slot
6;Refinaria do Pó Cinzento;Tanques Vazios;Afogado em Óleo Cinzento;Resíduo Infecto Tóxico;RESIDUO;Resíduo Infecto;Raro;45;1;2;Crafting por faixa de tier
6;Refinaria do Pó Cinzento;Tanques Vazios;Afogado em Óleo Cinzento;Biomaterial Reativo Raro;BIOMATERIAL;Biomaterial Reativo;Raro;35;1;1;Crafting por família de slot
6;Refinaria do Pó Cinzento;Tanques Vazios;Salamandra de Borra Cinzenta;Resíduo Infecto Tóxico;RESIDUO;Resíduo Infecto;Raro;45;1;2;Crafting por faixa de tier
6;Refinaria do Pó Cinzento;Tanques Vazios;Salamandra de Borra Cinzenta;Biomaterial de Mobilidade Raro;BIOMATERIAL;Biomaterial de Mobilidade;Raro;35;1;1;Crafting por família de slot
6;Refinaria do Pó Cinzento;Tanques Vazios;Respirador de Cinzas;Resíduo Infecto Tóxico;RESIDUO;Resíduo Infecto;Raro;45;1;2;Crafting por faixa de tier
6;Refinaria do Pó Cinzento;Tanques Vazios;Respirador de Cinzas;Biomaterial Craniano Raro;BIOMATERIAL;Biomaterial Craniano;Raro;35;1;1;Crafting por família de slot
6;Refinaria do Pó Cinzento;Tubulação Quente;Operário Escaldado de Vapor;Resíduo Infecto Tóxico;RESIDUO;Resíduo Infecto;Raro;45;1;2;Crafting por faixa de tier
6;Refinaria do Pó Cinzento;Tubulação Quente;Operário Escaldado de Vapor;Biomaterial Cortante Raro;BIOMATERIAL;Biomaterial Cortante;Raro;35;1;1;Crafting por família de slot
6;Refinaria do Pó Cinzento;Tubulação Quente;Queimado de Tubulação Viva;Resíduo Infecto Tóxico;RESIDUO;Resíduo Infecto;Raro;45;1;2;Crafting por faixa de tier
6;Refinaria do Pó Cinzento;Tubulação Quente;Queimado de Tubulação Viva;Biomaterial Craniano Raro;BIOMATERIAL;Biomaterial Craniano;Raro;35;1;1;Crafting por família de slot
6;Refinaria do Pó Cinzento;Tubulação Quente;Aracnídeo de Canos Ferventes;Resíduo Infecto Tóxico;RESIDUO;Resíduo Infecto;Raro;45;1;2;Crafting por faixa de tier
6;Refinaria do Pó Cinzento;Tubulação Quente;Aracnídeo de Canos Ferventes;Biomaterial Cortante Raro;BIOMATERIAL;Biomaterial Cortante;Raro;35;1;1;Crafting por família de slot
6;Refinaria do Pó Cinzento;Tubulação Quente;Pressurizado Sem Face;Resíduo Infecto Tóxico;RESIDUO;Resíduo Infecto;Raro;45;1;2;Crafting por faixa de tier
6;Refinaria do Pó Cinzento;Tubulação Quente;Pressurizado Sem Face;Biomaterial Craniano Raro;BIOMATERIAL;Biomaterial Craniano;Raro;35;1;1;Crafting por família de slot
6;Refinaria do Pó Cinzento;Câmara da Fornalha;Forjado em Cinzas;Resíduo Infecto Tóxico;RESIDUO;Resíduo Infecto;Raro;45;1;2;Crafting por faixa de tier
6;Refinaria do Pó Cinzento;Câmara da Fornalha;Forjado em Cinzas;Biomaterial Cortante Raro;BIOMATERIAL;Biomaterial Cortante;Raro;35;1;1;Crafting por família de slot
6;Refinaria do Pó Cinzento;Câmara da Fornalha;Carvoeiro Sem Pele;Resíduo Infecto Tóxico;RESIDUO;Resíduo Infecto;Raro;45;1;2;Crafting por faixa de tier
6;Refinaria do Pó Cinzento;Câmara da Fornalha;Carvoeiro Sem Pele;Biomaterial Craniano Raro;BIOMATERIAL;Biomaterial Craniano;Raro;35;1;1;Crafting por família de slot
6;Refinaria do Pó Cinzento;Câmara da Fornalha;Besta da Escória Fervente;Resíduo Infecto Tóxico;RESIDUO;Resíduo Infecto;Raro;45;1;2;Crafting por faixa de tier
6;Refinaria do Pó Cinzento;Câmara da Fornalha;Besta da Escória Fervente;Biomaterial Reativo Raro;BIOMATERIAL;Biomaterial Reativo;Raro;35;1;1;Crafting por família de slot
6;Refinaria do Pó Cinzento;Câmara da Fornalha;Guardião da Fornalha Morta;Resíduo Infecto Tóxico;RESIDUO;Resíduo Infecto;Raro;45;1;2;Crafting por faixa de tier
6;Refinaria do Pó Cinzento;Câmara da Fornalha;Guardião da Fornalha Morta;Núcleo Infectado de Elite Raro;NUCLEO_ELITE;Núcleo Infectado de Elite;Raro;25;1;1;Crafting raro / upgrades de elite
7;Avenida dos Caídos;Faixa Engarrafada;Motorista Fundido ao Volante;Resíduo Infecto Mutagênico;RESIDUO;Resíduo Infecto;Épico;45;1;2;Crafting por faixa de tier
7;Avenida dos Caídos;Faixa Engarrafada;Motorista Fundido ao Volante;Biomaterial Torácico Épico;BIOMATERIAL;Biomaterial Torácico;Épico;35;1;1;Crafting por família de slot
7;Avenida dos Caídos;Faixa Engarrafada;Buzinador Sem Cabeça;Resíduo Infecto Mutagênico;RESIDUO;Resíduo Infecto;Épico;45;1;2;Crafting por faixa de tier
7;Avenida dos Caídos;Faixa Engarrafada;Buzinador Sem Cabeça;Biomaterial Reativo Épico;BIOMATERIAL;Biomaterial Reativo;Épico;35;1;1;Crafting por família de slot
7;Avenida dos Caídos;Faixa Engarrafada;Cervídeo Atropelado Mutado;Resíduo Infecto Mutagênico;RESIDUO;Resíduo Infecto;Épico;45;1;2;Crafting por faixa de tier
